"hotel","lugar","num_turistas"
"Hotel_Dunas_Suites_and_Villas_Resort","Playa_de_Maspalomas",77
"Hotel_Dunas_Suites_and_Villas_Resort","Palmitos_Park",62
"Hotel_Dunas_Suites_and_Villas_Resort","El_Faro_de_Maspalomas",42
"Hotel_Eugenia_Victoria","Aqualand",21
"Hotel_Eugenia_Victoria","Dunas_de_Maspalomas",19
"Hotel_Eugenia_Victoria","Palmitos_Park",19
"Hotel_Eugenia_Victoria","Yumbo_Centrum",17
"Hotel_Neptuno_Gran_Canaria","Yumbo_Centrum",21
"Hotel_Neptuno_Gran_Canaria","Dunas_de_Maspalomas",19
"Hotel_Neptuno_Gran_Canaria","Wapa_Tapa",16
"Hotel_Riu_Don_Miguel","Yumbo_Centrum",35
"Hotel_Riu_Don_Miguel","Dunas_de_Maspalomas",29
"Hotel_Riu_Don_Miguel","Ricky_s_Cabaret_Bar",20
"Hotel_Riu_Don_Miguel","Sparkles_Showbar",17
"Hotel_Riu_Palace_Maspalomas","Dunas_de_Maspalomas",35
"Hotel_Riu_Palace_Maspalomas","Playa_de_Maspalomas",17
"Hotel_Riu_Palace_Maspalomas","Yumbo_Centrum",17
"Hotel_Riu_Palace_Meloneras_Resort","Playa_de_Maspalomas",27
"Hotel_Riu_Palace_Meloneras_Resort","Grand_Italia",27
"Hotel_Riu_Palace_Meloneras_Resort","El_Faro_de_Maspalomas",25
"Hotel_Riu_Palace_Meloneras_Resort","Palmitos_Park",22
"Hotel_Riu_Palace_Oasis","Playa_de_Maspalomas",46
"Hotel_Riu_Palace_Oasis","El_Faro_de_Maspalomas",24
"Hotel_Riu_Palace_Oasis","Palmitos_Park",20
"Hotel_Servatur_Waikiki","Dunas_de_Maspalomas",26
"Hotel_Servatur_Waikiki","Palmitos_Park",22
"Hotel_Servatur_Waikiki","Yumbo_Centrum",20
"IFA_Buenaventura_Hotel","Aqualand",52
"IFA_Buenaventura_Hotel","Dunas_de_Maspalomas",36
"IFA_Buenaventura_Hotel","Palmitos_Park",32
"IFA_Buenaventura_Hotel","Yumbo_Centrum",31
"IFA_Buenaventura_Hotel","Steakhouse_El_Rancho",22
"IFA_Buenaventura_Hotel","Kasbah",17
"IFA_Catarina_Hotel","Dunas_de_Maspalomas",54
"IFA_Catarina_Hotel","Yumbo_Centrum",26
"IFA_Catarina_Hotel","Palmitos_Park",25
"IFA_Catarina_Hotel","Playa_de_Maspalomas",21
"IFA_Continental_Hotel","Palmitos_Park",40
"IFA_Continental_Hotel","Aqualand",24
"IFA_Continental_Hotel","Dunas_de_Maspalomas",24
"IFA_Continental_Hotel","Sparkles_Showbar",17
